Site name: Stevenage ,,,,
Site latitude: 51.8886 ,,,,
Site longitude: -0.25516 ,,,,
Frequency (MHz): 449.425 ,,,,
Tx antenna height (m): 17 ,,,,
Tx amplifier power (dBm): 50.6 ,,,,
Tx cable loss (dB): 0.9 ,,,,
Tx antenna gain (dBi): 0.9 ,,,,
Tx eirp (dBm): 55.1 ,,,,
Rx antenna height (m): 1.5 ,,,,
Rx antenna gain (dBi): -8 ,,,,
Rx cable loss (dB): 0.2 ,,,,
Rx splitter loss (dB): 6.1 ,,,,
Rx LNA gain (dB): 0 ,,,,
Rx band pass filter loss (dB): 0.5 ,,,,
System gain (dB): -14.8 ,,,,
System noise floor (dBm): -122 ,,,,
Dynamic range (dB): 162.3 ,,,,
Averaging samples: 50 ,,,,
Averaging distance (m): 26.701 ,,,,
Date (dd.mm.yyy), Time (hh:mm:ss), Rx Latitude (deg), Rx Longitude (deg), Local mean measurement (dBm) 
08.12.2015, 12:55:54,51.94,-0.274,-89.95
08.12.2015, 12:55:56,51.9402,-0.2742,-87.93
08.12.2015, 12:55:59,51.9404,-0.2745,-88.93
08.12.2015, 12:56:03,51.9405,-0.2749,-90.39
08.12.2015, 12:56:06,51.9406,-0.2752,-88.61
08.12.2015, 12:56:09,51.9406,-0.2755,-90.05
08.12.2015, 12:56:11,51.9407,-0.2759,-90.75
08.12.2015, 12:56:14,51.9409,-0.2761,-91.93
08.12.2015, 12:56:16,51.941,-0.2764,-96.51
08.12.2015, 12:56:18,51.941,-0.2768,-97.82
08.12.2015, 12:56:20,51.941,-0.2771,-97.87
08.12.2015, 12:56:21,51.941,-0.2775,-94.15
08.12.2015, 12:56:23,51.941,-0.2779,-95.3
08.12.2015, 12:56:24,51.9411,-0.2783,-97.39
08.12.2015, 12:56:26,51.9411,-0.2786,-98.44
08.12.2015, 12:56:27,51.9412,-0.279,-98.86
08.12.2015, 12:56:29,51.9413,-0.2793,-98.13
08.12.2015, 12:56:30,51.9414,-0.2796,-96.47
08.12.2015, 12:56:32,51.9415,-0.2799,-97.16
08.12.2015, 12:56:33,51.9417,-0.2802,-96.77
08.12.2015, 12:56:35,51.9418,-0.2805,-97.93
08.12.2015, 12:56:37,51.942,-0.2807,-100.4
08.12.2015, 12:56:38,51.9422,-0.2809,-101.58
08.12.2015, 12:56:40,51.9424,-0.2811,-102.58
08.12.2015, 12:56:41,51.9426,-0.2813,-103
08.12.2015, 12:56:43,51.9428,-0.2814,-102.18
08.12.2015, 12:56:44,51.9431,-0.2816,-99.1
08.12.2015, 12:56:46,51.9433,-0.2817,-98.47
08.12.2015, 12:56:48,51.9435,-0.2819,-100.38
08.12.2015, 12:56:49,51.9437,-0.282,-100.32
08.12.2015, 12:56:51,51.9439,-0.2822,-99.51
08.12.2015, 12:56:52,51.9441,-0.2823,-100.97
08.12.2015, 12:56:54,51.9443,-0.2824,-99.61
08.12.2015, 12:56:56,51.9446,-0.2826,-99.22
08.12.2015, 12:56:57,51.9448,-0.2827,-96.27
08.12.2015, 12:56:59,51.945,-0.2828,-94.41
08.12.2015, 12:57:00,51.9452,-0.2829,-92.74
08.12.2015, 12:57:02,51.9455,-0.283,-93.37
08.12.2015, 12:57:04,51.9457,-0.283,-94.42
08.12.2015, 12:57:05,51.9459,-0.283,-94.95
08.12.2015, 12:57:07,51.9462,-0.283,-98.32
08.12.2015, 12:57:09,51.9464,-0.2829,-96.14
08.12.2015, 12:57:11,51.9466,-0.2828,-97.12
08.12.2015, 12:57:13,51.9469,-0.2828,-97
08.12.2015, 12:57:15,51.9472,-0.2826,-99.91
08.12.2015, 12:57:17,51.9474,-0.2826,-97.08
08.12.2015, 12:57:21,51.9477,-0.2825,-96.87
08.12.2015, 12:57:27,51.9479,-0.2823,-100.17
08.12.2015, 12:57:32,51.9481,-0.2823,-102.88
08.12.2015, 12:57:35,51.9483,-0.2822,-105.18
08.12.2015, 12:57:38,51.9485,-0.2823,-104.7
08.12.2015, 12:57:40,51.9488,-0.2824,-106.16
08.12.2015, 12:57:42,51.949,-0.2825,-108.16
08.12.2015, 12:57:45,51.9492,-0.2826,-107.38
08.12.2015, 12:57:47,51.9494,-0.2828,-105.34
08.12.2015, 12:57:50,51.9496,-0.2829,-105.62
08.12.2015, 12:57:53,51.9499,-0.283,-106.13
08.12.2015, 12:57:56,51.9501,-0.2832,-103.74
08.12.2015, 12:58:00,51.9503,-0.2833,-103.62
08.12.2015, 12:58:05,51.9505,-0.2835,-103.36
08.12.2015, 12:58:11,51.9507,-0.2836,-100.62
08.12.2015, 12:58:15,51.9509,-0.2837,-100.3
08.12.2015, 12:58:18,51.9511,-0.2838,-100.61
08.12.2015, 12:58:20,51.9513,-0.2839,-100.33
08.12.2015, 12:58:23,51.9516,-0.284,-100.43
08.12.2015, 12:58:25,51.9518,-0.2841,-99.37
08.12.2015, 12:58:27,51.952,-0.2842,-99.45
08.12.2015, 12:58:29,51.9523,-0.2843,-99.38
08.12.2015, 12:58:32,51.9525,-0.2844,-101.38
08.12.2015, 12:58:34,51.9527,-0.2844,-101.02
08.12.2015, 12:58:36,51.953,-0.2845,-100.66
08.12.2015, 12:58:39,51.9532,-0.2846,-100.73
08.12.2015, 12:58:45,51.9535,-0.2847,-98.69
08.12.2015, 12:58:53,51.9537,-0.2848,-96.03
08.12.2015, 12:58:56,51.9539,-0.2848,-98.16
08.12.2015, 12:58:59,51.9541,-0.2849,-96.65
08.12.2015, 12:59:01,51.9543,-0.285,-94.87
08.12.2015, 12:59:04,51.9545,-0.285,-92.73
08.12.2015, 12:59:06,51.9548,-0.2851,-99.01
08.12.2015, 12:59:09,51.955,-0.2852,-98.01
08.12.2015, 12:59:13,51.9553,-0.2853,-100.52
08.12.2015, 12:59:18,51.9555,-0.2854,-100.95
08.12.2015, 12:59:22,51.9558,-0.2855,-99.76
08.12.2015, 12:59:26,51.9559,-0.2856,-100.36
08.12.2015, 12:59:28,51.9562,-0.2856,-101.81
08.12.2015, 12:59:31,51.9564,-0.2857,-99.5
08.12.2015, 12:59:34,51.9566,-0.2858,-100.52
08.12.2015, 12:59:38,51.9568,-0.2859,-97.54
08.12.2015, 12:59:41,51.9571,-0.2859,-99.88
08.12.2015, 12:59:43,51.9573,-0.286,-97.61
08.12.2015, 12:59:46,51.9575,-0.286,-98.26
08.12.2015, 12:59:48,51.9577,-0.2861,-96.48
08.12.2015, 12:59:50,51.958,-0.2861,-93.42
08.12.2015, 12:59:52,51.9582,-0.2862,-90.61
08.12.2015, 12:59:54,51.9584,-0.2863,-90.8
08.12.2015, 12:59:56,51.9586,-0.2863,-94.11
08.12.2015, 12:59:58,51.9588,-0.2864,-92.86
08.12.2015, 13:00:00,51.9591,-0.2864,-97.7
08.12.2015, 13:00:01,51.9593,-0.2865,-96.17
08.12.2015, 13:00:03,51.9596,-0.2865,-93.67
08.12.2015, 13:00:05,51.9598,-0.2865,-93.02
08.12.2015, 13:00:07,51.96,-0.2865,-99.99
08.12.2015, 13:00:09,51.9603,-0.2864,-97.31
08.12.2015, 13:00:10,51.9605,-0.2863,-99.16
08.12.2015, 13:00:12,51.9607,-0.2863,-99.75
08.12.2015, 13:00:14,51.961,-0.2862,-100.93
08.12.2015, 13:00:16,51.9612,-0.2861,-101.77
08.12.2015, 13:00:18,51.9614,-0.286,-103.67
08.12.2015, 13:00:20,51.9617,-0.2859,-104.85
08.12.2015, 13:00:23,51.9619,-0.2858,-106.83
08.12.2015, 13:00:30,51.9622,-0.2857,-103.71
08.12.2015, 13:00:39,51.9624,-0.2857,-103.95
08.12.2015, 13:00:43,51.9626,-0.2857,-106
08.12.2015, 13:00:46,51.9628,-0.2857,-100.45
08.12.2015, 13:00:48,51.963,-0.2857,-101.6
08.12.2015, 13:00:51,51.9632,-0.2858,-102.08
08.12.2015, 13:00:53,51.9635,-0.2859,-102.61
08.12.2015, 13:00:55,51.9637,-0.286,-104.55
08.12.2015, 13:00:57,51.9639,-0.286,-105.05
08.12.2015, 13:00:59,51.9641,-0.2861,-103.02
08.12.2015, 13:01:01,51.9644,-0.2862,-102
08.12.2015, 13:01:03,51.9646,-0.2862,-99.86
08.12.2015, 13:01:05,51.9648,-0.2863,-100.56
08.12.2015, 13:01:07,51.965,-0.2864,-101.68
08.12.2015, 13:01:09,51.9653,-0.2865,-98.77
08.12.2015, 13:01:10,51.9655,-0.2865,-96.78
08.12.2015, 13:01:12,51.9657,-0.2866,-96.19
08.12.2015, 13:01:14,51.9659,-0.2867,-97.11
08.12.2015, 13:01:15,51.9661,-0.2867,-96.52
08.12.2015, 13:01:17,51.9663,-0.2868,-97.69
08.12.2015, 13:01:19,51.9665,-0.2868,-98.97
08.12.2015, 13:01:22,51.9668,-0.2869,-98.13
08.12.2015, 13:01:24,51.9671,-0.287,-100.2
08.12.2015, 13:01:27,51.9673,-0.2871,-97.18
08.12.2015, 13:01:30,51.9675,-0.2871,-97.72
08.12.2015, 13:01:32,51.9678,-0.2872,-99
08.12.2015, 13:01:33,51.968,-0.2873,-100.56
08.12.2015, 13:01:35,51.9683,-0.2873,-99.99
